,Classement,Pays,Eau,Superficie
0,1,Algérie,0.0,2380000.0
1,2,République démocratique du Congo,77810.0,2340000.0
2,3,Soudan,0.0,1860000.0
3,4,Libye,0.0,1760000.0
4,5,Tchad,0.0,1280000.0
5,6,Niger,0.0,1270000.0
6,7,Angola,0.0,1250000.0
7,8,Mali,20002.0,1240000.0
8,9,Afrique du Sud,4620.0,1220000.0
9,10,Éthiopie,104300.0,1100000.0
10,11,Mauritanie,0.0,1030000.0
11,12,Égypte,6000.0,1000000.0
12,13,Tanzanie,61500.0,947300.0
13,14,Nigéria,13000.0,923768.0
14,15,Namibie,1002.0,824292.0
15,16,Mozambique,13000.0,799380.0
16,17,Zambie,9220.0,752618.0
17,18,Soudan du Sud,0.0,644329.0
18,19,Somalie,10320.0,637657.0
19,20,République centrafricaine,0.0,622984.0
20,21,Madagascar,5501.0,587041.0
21,22,Botswana,15000.0,581730.0
22,23,Kenya,11227.0,580367.0
23,24,Cameroun,2730.0,475440.0
24,25,Maroc,250.0,446550.0
25,26,Zimbabwe,3910.0,390757.0
26,27,Congo,500.0,342000.0
27,28,Côte d'ivoire,4460.0,322463.0
28,29,Burkina Faso,400.0,274200.0
29,30,Gabon,10000.0,267667.0
30,31,Sahara Occidental,0.0,266000.0
31,32,Guinée,140.0,245857.0
32,33,Ouganda,43938.0,241038.0
33,34,Ghana,11000.0,238533.0
34,35,Sénégal,4192.0,196722.0
35,36,Tunisie,8250.0,163610.0
36,37,Malawi,24404.0,118484.0
37,38,Érythrée,16600.0,117600.0
38,39,Bénin,2000.0,112622.0
39,40,Libéria,15049.0,111369.0
40,41,Sierra Leone,120.0,71740.0
41,42,Togo,2400.0,56785.0
42,43,Guinée-Bissau,8005.0,36125.0
43,44,Lesotho,0.0,30355.0
44,45,Guinée équatoriale,0.0,28051.0
45,46,Burundi,2150.0,27830.0
46,47,Rwanda,1670.0,26338.0
47,48,Djibouti,20.0,23200.0
48,49,Swaziland,160.0,17364.0
49,50,Gambie,1295.0,11295.0
50,51,Cap-Vert,0.0,4033.0
51,52,La Réunion,0.0,2517.0
52,53,Comores,0.0,2235.0
53,54,Maurice,10.0,2040.0
54,55,Sao Tomé-et-Principe,0.0,964.0
55,56,Seychelles,0.0,455.0
56,57,"Sainte-Hélène, Ascension et Tristan da Cunha",0.0,410.0
57,58,Mayotte,0.0,374.0
